Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Downtown Montréal Nord,45.50435,-73.57668000000001,Papeterie Nota Bene,45.508571401351126,-73.5716724978066,Paper / Office Supplies Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Pikolo Espresso Bar,45.50860566676724,-73.57177157206876,Coffee Shop
Downtown Montréal Nord,45.50435,-73.57668000000001,YMCA,45.499562185892614,-73.57461768019975,Gym
Downtown Montréal Nord,45.50435,-73.57668000000001,Dominion Square Tavern,45.50040540450307,-73.57163553893498,Gastropub
Downtown Montréal Nord,45.50435,-73.57668000000001,Salon de thé CHAI tea lounge,45.50951784155034,-73.57387278024908,Tea Room
Downtown Montréal Nord,45.50435,-73.57668000000001,Tunnel Espresso,45.50216704790331,-73.56995397994265,Coffee Shop
Downtown Montréal Nord,45.50435,-73.57668000000001,Leaves Cafe,45.498961586028315,-73.57724869767002,Café
Downtown Montréal Nord,45.50435,-73.57668000000001,Roots,45.50037266481825,-73.57292622327805,Clothing Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Musée des beaux-arts de Montréal (MBAM),45.498436,-73.579715,Art Museum
Downtown Montréal Nord,45.50435,-73.57668000000001,Reuben's Deli & Steaks,45.49974684760275,-73.57314804727957,Deli / Bodega
Downtown Montréal Nord,45.50435,-73.57668000000001,FOU D'ICI,45.50705742098161,-73.5691614805547,Gourmet Shop
Downtown Montréal Nord,45.50435,-73.57668000000001,Brigade Pizzeria Napolitaine,45.49964981067146,-73.57433652179803,Pizza Place
Downtown Montréal Nord,45.50435,-73.57668000000001,Il Focolaio,45.504009,-73.568213,Pizza Place
Downtown Montréal Nord,45.50435,-73.57668000000001,Pullman,45.50860858690146,-73.5718413421714,Wine Bar
Downtown Montréal Nord,45.50435,-73.57668000000001,Le Mount Stephen Hôtel,45.49922316166963,-73.57559299360726,Hotel
Downtown Montréal Nord,45.50435,-73.57668000000001,Mandy's,45.49828577282335,-73.57789545259563,Salad Place
Downtown Montréal Nord,45.50435,-73.57668000000001,Anthropologie,45.49913311079367,-73.57768019134419,Women's Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Joe's Panini,45.498774,-73.574754,Sandwich Place
Downtown Montréal Nord,45.50435,-73.57668000000001,Mandy's,45.50382272622568,-73.56874816088768,Salad Place
Downtown Montréal Nord,45.50435,-73.57668000000001,MELK Bar à Café,45.49848,-73.572076,Café
Downtown Montréal Nord,45.50435,-73.57668000000001,Cinéma Imperial,45.50664890652925,-73.56769200366912,Movie Theater
Downtown Montréal Nord,45.50435,-73.57668000000001,Square Dorchester,45.499474030694465,-73.5708475112915,Park
Downtown Montréal Nord,45.50435,-73.57668000000001,Place des Festivals,45.50726422293791,-73.56741428375244,Plaza
Downtown Montréal Nord,45.50435,-73.57668000000001,Escondite,45.50304462383894,-73.5678883120217,Taco Place
Downtown Montréal Nord,45.50435,-73.57668000000001,The Keg Steakhouse + Bar - Place Ville Marie,45.50138817718128,-73.5691579646458,Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,Cathédrale Marie-Reine-du-Monde,45.4996141750587,-73.56936744130132,Church
Downtown Montréal Nord,45.50435,-73.57668000000001,Nacarat,45.500772736420465,-73.56819969224792,Cocktail Bar
Downtown Montréal Nord,45.50435,-73.57668000000001,Parc du Mont-Royal,45.50407921694641,-73.58732075575296,Park
Downtown Montréal Nord,45.50435,-73.57668000000001,Nespresso Boutique-Bar,45.498257587869325,-73.57780752838924,Coffee Shop
Downtown Montréal Nord,45.50435,-73.57668000000001,Casa del Habano,45.497957,-73.580112,Smoke Shop
